prediction,decision,ground_truth,img_name
1.0,True,1.0,tensor(20056)
1.0,True,1.0,tensor(20099)
1.0,True,1.0,tensor(20952)
1.0,True,1.0,tensor(20486)
1.0,True,1.0,tensor(20130)
1.0,True,1.0,tensor(20190)
1.0,True,1.0,tensor(20487)
1.0,True,1.0,tensor(20646)
1.0,True,1.0,tensor(20600)
1.0,True,1.0,tensor(20660)
1.0,True,1.0,tensor(20857)
1.0,True,1.0,tensor(20587)
1.0,True,1.0,tensor(20042)
1.0,True,1.0,tensor(20204)
1.0,True,1.0,tensor(20177)
1.0,True,1.0,tensor(20246)
1.0,True,1.0,tensor(20457)
1.0,True,1.0,tensor(20129)
1.0,True,1.0,tensor(20517)
1.0,True,1.0,tensor(20084)
1.0,True,1.0,tensor(20785)
1.0,True,1.0,tensor(20416)
1.0,True,1.0,tensor(20535)
1.0,True,1.0,tensor(20209)
1.0,True,1.0,tensor(20848)
0.9999973773956299,True,1.0,tensor(20884)
0.5420329570770264,False,1.0,tensor(20625)
1.0,True,1.0,tensor(20959)
0.12276880443096161,False,1.0,tensor(20141)
0.9983342289924622,True,1.0,tensor(20784)
0.9848648309707642,True,1.0,tensor(20095)
0.32680752873420715,False,1.0,tensor(20671)
0.9999974966049194,True,1.0,tensor(20502)
0.9999922513961792,True,1.0,tensor(20682)
1.0,True,1.0,tensor(20891)
1.0,True,1.0,tensor(20804)
1.0,True,1.0,tensor(20378)
1.0,True,1.0,tensor(20434)
1.0,True,1.0,tensor(20158)
1.0,True,1.0,tensor(20834)
1.0,True,1.0,tensor(20881)
1.0,True,1.0,tensor(20403)
0.9999997615814209,True,1.0,tensor(20870)
1.0,True,1.0,tensor(20669)
1.0,True,1.0,tensor(20334)
1.0,True,1.0,tensor(20685)
1.0,True,1.0,tensor(20172)
1.0,True,1.0,tensor(20561)
1.0,True,1.0,tensor(20121)
1.0,True,1.0,tensor(20765)
1.0,True,1.0,tensor(20125)
1.0,True,1.0,tensor(20543)
1.0,True,1.0,tensor(20599)
1.0,True,1.0,tensor(20747)
1.0,True,1.0,tensor(20882)
1.0,True,1.0,tensor(20295)
0.9907842874526978,True,1.0,tensor(20142)
0.9997844099998474,True,1.0,tensor(20264)
1.0,True,1.0,tensor(20892)
1.0,True,1.0,tensor(20912)
1.0,True,1.0,tensor(20175)
1.0,True,1.0,tensor(20902)
1.0,True,1.0,tensor(20827)
1.0,True,1.0,tensor(20319)
0.7055540084838867,True,1.0,tensor(20281)
0.9999985694885254,True,1.0,tensor(20465)
1.0,True,1.0,tensor(20428)
0.9999984502792358,True,1.0,tensor(20193)
0.9999996423721313,True,1.0,tensor(20724)
0.9516478180885315,True,1.0,tensor(20624)
0.999750554561615,True,1.0,tensor(20895)
1.0,True,1.0,tensor(20941)
1.0,True,1.0,tensor(20452)
1.0,True,1.0,tensor(20068)
1.0,True,1.0,tensor(20546)
1.0,True,1.0,tensor(20672)
0.9999545812606812,True,1.0,tensor(20392)
1.0,True,1.0,tensor(20118)
0.9999988079071045,True,1.0,tensor(20632)
0.735280454158783,True,1.0,tensor(20439)
1.0,True,1.0,tensor(20217)
1.0,True,1.0,tensor(20275)
0.02257673256099224,False,1.0,tensor(20969)
1.0,True,1.0,tensor(20297)
0.024617094546556473,False,1.0,tensor(20744)
1.0,True,1.0,tensor(20942)
0.9999971389770508,True,1.0,tensor(20829)
0.6324553489685059,False,1.0,tensor(20816)
0.03809023275971413,False,1.0,tensor(20640)
0.23639003932476044,False,1.0,tensor(20544)
0.17378491163253784,False,1.0,tensor(20228)
0.7368271946907043,True,1.0,tensor(20523)
0.9999995231628418,True,1.0,tensor(20922)
0.9999794960021973,True,1.0,tensor(20426)
0.2401784211397171,False,1.0,tensor(20772)
1.0,True,1.0,tensor(20155)
0.006801325362175703,False,1.0,tensor(20801)
0.38130050897598267,False,1.0,tensor(20236)
0.7234926819801331,True,1.0,tensor(20159)
0.9999997615814209,True,1.0,tensor(20564)
0.9497883915901184,True,1.0,tensor(20667)
0.9987181425094604,True,1.0,tensor(20231)
1.0,True,1.0,tensor(20754)
0.582021951675415,False,1.0,tensor(20259)
0.2929026484489441,False,1.0,tensor(20139)
0.9996298551559448,True,1.0,tensor(20738)
1.0,True,1.0,tensor(20117)
0.9999949932098389,True,1.0,tensor(20821)
1.0,True,1.0,tensor(20956)
1.0,True,1.0,tensor(20665)
0.009993896819651127,False,0.0,tensor(20637)
0.09255234897136688,False,0.0,tensor(20511)
0.011117362417280674,False,0.0,tensor(20044)
0.00505064195021987,False,0.0,tensor(20291)
0.01582176983356476,False,0.0,tensor(20862)
0.00493575306609273,False,0.0,tensor(20359)
0.008107093162834644,False,0.0,tensor(20556)
0.0022361245937645435,False,0.0,tensor(20181)
0.008362795226275921,False,0.0,tensor(20422)
0.0026815198361873627,False,0.0,tensor(20308)
0.004187999293208122,False,0.0,tensor(20800)
0.006001314148306847,False,0.0,tensor(20377)
0.0030141437891870737,False,0.0,tensor(20831)
0.003949407953768969,False,0.0,tensor(20331)
0.0040968190878629684,False,0.0,tensor(20463)
0.007023524958640337,False,0.0,tensor(20111)
0.004286561161279678,False,0.0,tensor(20603)
0.0030695642344653606,False,0.0,tensor(20728)
0.005275157745927572,False,0.0,tensor(20351)
0.011739212088286877,False,0.0,tensor(20988)
0.0059391348622739315,False,0.0,tensor(20478)
0.019828395918011665,False,0.0,tensor(20233)
0.003478242317214608,False,0.0,tensor(20200)
0.04764701798558235,False,0.0,tensor(20372)
0.0263296440243721,False,0.0,tensor(20879)
0.003824461717158556,False,0.0,tensor(20015)
0.006175795570015907,False,0.0,tensor(20506)
0.006076042074710131,False,0.0,tensor(20648)
0.004711895249783993,False,0.0,tensor(20069)
0.003922711592167616,False,0.0,tensor(20433)
0.005147526506334543,False,0.0,tensor(20313)
0.0036499209236353636,False,0.0,tensor(20559)
0.003918512724339962,False,0.0,tensor(20690)
0.011476184241473675,False,0.0,tensor(20913)
0.0053378003649413586,False,0.0,tensor(20531)
0.009166937321424484,False,0.0,tensor(20247)
0.057705145329236984,False,0.0,tensor(20304)
0.06279292702674866,False,0.0,tensor(20864)
0.00412761652842164,False,0.0,tensor(20025)
0.0028937743045389652,False,0.0,tensor(20268)
0.004667638801038265,False,0.0,tensor(20410)
0.003154669189825654,False,0.0,tensor(20170)
0.0031547860708087683,False,0.0,tensor(20401)
0.008723222650587559,False,0.0,tensor(20285)
0.1420747935771942,False,0.0,tensor(20163)
0.0055871265940368176,False,0.0,tensor(20244)
0.003729148767888546,False,0.0,tensor(20101)
0.012356102466583252,False,0.0,tensor(20574)
0.005177575629204512,False,0.0,tensor(20810)
0.01648971438407898,False,0.0,tensor(20070)
0.09254439920186996,False,0.0,tensor(20695)
0.004016125574707985,False,0.0,tensor(20980)
0.00641965726390481,False,0.0,tensor(20745)
0.02094622515141964,False,0.0,tensor(20872)
0.9594981074333191,True,0.0,tensor(20364)
0.0035239558201283216,False,0.0,tensor(20628)
0.004790597595274448,False,0.0,tensor(20205)
0.06120973452925682,False,0.0,tensor(20323)
0.006213750224560499,False,0.0,tensor(20609)
0.006096509750932455,False,0.0,tensor(20484)
0.008573836646974087,False,0.0,tensor(20448)
0.044613562524318695,False,0.0,tensor(20703)
0.004150790628045797,False,0.0,tensor(20269)
0.013963337056338787,False,0.0,tensor(20514)
0.004719946067780256,False,0.0,tensor(20693)
0.0053727030754089355,False,0.0,tensor(20449)
0.0025039417669177055,False,0.0,tensor(20819)
0.004421362187713385,False,0.0,tensor(20199)
0.0057975961826741695,False,0.0,tensor(20088)
0.004759803880006075,False,0.0,tensor(20711)
0.006138950120657682,False,0.0,tensor(20964)
0.9910433292388916,True,0.0,tensor(20462)
0.0034444602206349373,False,0.0,tensor(20327)
